objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,specobjid,class,redshift,plate,mjd,fiberid
1.23766E+18,196.3620721,7.667016042,19.32757,19.20759,19.16249,19.07652,18.86196,3842,301,4,102,2.02003E+18,QSO,1.984419,1794,54504,594
1.23766E+18,206.6146641,45.92427905,18.95918,17.09173,16.25019,15.83413,15.55686,3699,301,5,121,1.64959E+18,GALAXY,0.06445618,1465,53082,516
1.23766E+18,220.2947282,40.89457527,17.75587,16.547,16.67694,16.7778,16.88097,3699,301,2,194,3.81239E+18,STAR,-0.000509261,3386,54952,330
1.23767E+18,206.3153494,27.43815155,19.29195,19.1272,19.03992,18.76714,18.73874,4649,301,2,152,6.76229E+18,QSO,1.882893,6006,56105,496
1.23767E+18,228.0926526,20.80737112,19.19731,18.26143,17.89954,17.7613,17.68726,4670,301,3,201,4.45429E+18,STAR,-0.000295471,3956,55656,846
1.23765E+18,355.7634237,16.00366332,19.55606,18.09136,17.50999,17.2733,17.16863,1739,301,6,275,3.52418E+18,STAR,-0.000208298,3130,54740,404
1.23766E+18,147.9082584,32.79515499,19.17569,18.31086,18.02395,17.91574,17.89508,4518,301,6,139,6.5293E+18,STAR,0.000467315,5799,56325,754
1.23766E+18,133.8751888,31.92031574,18.8257,18.6237,18.48473,18.49617,18.40343,3606,301,3,68,1.17478E+19,QSO,1.18304,10434,58140,663
1.23766E+18,123.4352359,37.40846508,17.0546,15.58986,15.0444,14.8733,14.79895,2825,301,5,119,3.00623E+18,STAR,-0.000104139,2670,54115,276
1.23766E+18,123.920927,38.05722914,19.51988,18.10638,17.56377,17.35304,17.236,2825,301,5,124,3.00627E+18,STAR,-3.49E-06,2670,54115,437
1.23766E+18,136.4875976,46.68370576,17.50212,16.02096,15.37915,15.2255,15.08105,2825,301,5,208,1.0112E+18,STAR,-3.68E-05,898,52606,534
1.23766E+18,125.0899934,59.51217178,19.10489,17.75827,17.06874,16.64225,16.35363,4294,301,6,141,2.10892E+18,GALAXY,0.07853939,1873,54437,408
1.23766E+18,241.5062703,46.44409512,18.63749,17.3643,17.50419,17.63137,17.72246,2299,301,3,290,3.85969E+18,STAR,-0.000304381,3428,54979,368
1.23767E+18,125.0351695,10.78317248,19.18053,17.78487,17.00546,16.55067,16.23106,5935,301,5,58,2.72812E+18,GALAXY,0.09533744,2423,54149,231
1.23766E+18,227.1823398,43.79530816,17.30061,16.31979,16.06476,15.97637,15.95787,3918,301,3,200,9.59516E+18,STAR,-0.000441817,8522,58193,862
1.23765E+18,146.3172039,61.89351573,17.51626,16.16038,15.63381,15.40749,15.30375,1412,301,3,55,2.68306E+18,STAR,-0.000859538,2383,53800,162
1.23766E+18,220.9107361,40.68556823,19.56375,18.31328,17.62298,17.2253,17.02592,3699,301,2,198,1.57296E+18,GALAXY,0.169769,1397,53119,267
1.23766E+18,253.4875576,32.7874559,17.73768,16.63786,16.13458,15.68861,15.55608,3225,301,4,294,1.32418E+18,GALAXY,0.07808524,1176,52791,456
1.23766E+18,184.4478405,60.05224112,19.01576,17.95984,17.53988,17.2244,17.04293,2243,301,4,335,1.07537E+18,GALAXY,0.07886174,955,52409,482
1.23766E+18,201.327064,47.37777086,18.83348,17.03823,16.12169,15.7142,15.36879,3699,301,6,95,1.64729E+18,GALAXY,0.09128089,1463,53063,376
1.23766E+18,204.3465109,46.89983572,18.47154,17.45168,17.0157,16.64147,16.52345,3699,301,6,109,1.64954E+18,GALAXY,0.06285045,1465,53082,367
1.23766E+18,205.6610081,46.52786029,19.32319,17.96136,17.47064,17.21248,17.08667,3699,301,6,115,1.64959E+18,GALAXY,0.03070672,1465,53082,540
